"","Año","Clave cuenca","Clave Región","Región hidrológica","Descripcion","RHA","Clave RHA","Nombre de cuenca","ExtraccionSuperficial","Area","DisponibilidadMediaAnua","EscurrimientoNatural"
"1",2003,1201,20,"Lerma-Santiago","Desde su origen hasta la presa José A Alzate","Lerma Santiago Pacífico","VIII","Río Lerma 1","39.3","2137","0","244.9"
"2",2003,1202,20,"Lerma-Santiago","Desde su origen hasta la presa Ignacio Ramírez","Lerma Santiago Pacífico","VIII","Río La Gavia","34.4","505","0","98.7"
"3",2003,1203,20,"Lerma-Santiago","Desde su origen hasta la presa Tepetitlán","Lerma Santiago Pacífico","VIII","Río Jaltepec","21.5","378","0","69"
"4",2003,1204,20,"Lerma-Santiago","Desde las presas Alzate, Ramírez y Tepetitlán hasta  la presa Tepuxtepec","Lerma Santiago Pacífico","VIII","Río Lerma 2","104.6","2623","0","460.3"
"5",2003,1205,20,"Lerma-Santiago","Desde la presa Tepuxtepec hasta la presa Solís","Lerma Santiago Pacífico","VIII","Río Lerma 3","114.4","2895","0","369.1"
"6",2003,1206,20,"Lerma-Santiago","Desde su origen hasta la presa Ignacio Allende","Lerma Santiago Pacífico","VIII","Río La Laja 1","56.4","4981","0","265.2"
"7",2003,1207,20,"Lerma-Santiago","Desde su origen hasta la EH Ameche","Lerma Santiago Pacífico","VIII","Río Querétaro","53.8","2255","0","128.9"
"8",2003,1208,20,"Lerma-Santiago","Desde la presa Ignacio Allende hasta la EH Pericos","Lerma Santiago Pacífico","VIII","Río La Laja 2","227.8","2415","0","80.7"
"9",2003,1209,20,"Lerma-Santiago","Laguna de Yuriria","Lerma Santiago Pacífico","VIII","Laguna  de Yuriria","109.6","1093","0","116.2"
"10",2003,1210,20,"Lerma-Santiago","Desde la presa Solís, la Laguna de Yuríria y la EH Pericos hasta la EH Salamanca","Lerma Santiago Pacífico","VIII","Río Lerma 4","450.9","2751","0","329.4"
"11",2003,1211,20,"Lerma-Santiago","Desde su origen hasta la EH Las Adjuntas","Lerma Santiago Pacífico","VIII","Río Turbio","152.6","2913","0","163.4"
