"","id_rh","Nombre_rh","Area_Km2","PrecipitacionNormal","EscurrimientoNaturalMedioSuperficial","ImportacionesExportacionesOtrosPaises","EscurrimientoNaturalMedioSuperficialTotal","No_Cuencas","anio"
"1","1","B.C. Noroeste","28492","209.000000000000","352.675777680980","","352.675777680980","16",2019
"2","2","B.C. Centro-Oeste","44314","116.000000000000","243.056706876721","","243.056706876721","16",2019
"3","3","B.C. Suroeste","29722","200.000000000000","356.070204710457","","356.070204710457","15",2019
"4","4","B.C. Noreste","14418","151.000000000000","122.271235789017","","122.271235789017","8",2019
"5","5","B.C. Centro-Este","13626","132.000000000000","95.201549464598","","95.201549464598","15",2019
"6","6","B.C. Sureste","11558","291.000000000000","185.736699908789","","185.736699908789","14",2019
"7","7","Río Colorado","6911","98.000000000000","71.754718280882","1850","1921.954718280880","4",2019
"8","8","Sonora Norte","61429","297.000000000000","180.305470615999","","180.305470615999","9",2019
"9","9","Sonora Sur","139370","483.000000000000","4828.254875439570","","4828.254875439570","16",2019
"10","10","Sinaloa","103483","747.000000000000","14695.809607195300","","14695.809607195300","30",2019
"11","11","Presidio-San Pedro","51717","819.000000000000","8840.843036876930","","8840.843036876930","26",2019
"12","12","Lerma-Santiago","132916","717.000000000000","13061.619196414000","","13061.619196414000","58",2019
"13","13","Río Huicicila","5225","1400.000000000000","1266.021390500710","","1266.021390500710","6",2019
"14","14","Río Ameca","12255","1063.000000000000","2230.620103723190","","2230.620103723190","9",2019
"15","15","Costa de Jalisco","12967","1144.000000000000","3590.705877932620","","3590.705877932620","11",2019
"16","16","Armería-Coahuayana","17628","866.000000000000","3479.659956695150","","3479.659956695150","10",2019
"17","17","Costa de Michoacán","9205","944.000000000000","1612.063720784750","","1612.063720784750","6",2019
"18","18","Balsas","118268","947.000000000000","16797.684979408400","","16797.684979408400","15",2019
"19","19","Costa Grande de Guerrero","12132","1215.000000000000","5171.322623458000","","5171.322623458000","28",2019
"20","20","Costa Chica de Guerrero","39936","1282.000000000000","18259.650665828600","","18259.650665828600","32",2019
"21","21","Costa de Oaxaca","10514","951.000000000000","2894.434174830540","","2894.434174830540","19",2019
"22","22","Tehuantepec","16363","884.000000000000","2574.764319265510","","2574.764319265510","15",2019
"23","23","Costa de Chiapas","12293","2220.000000000000","12551.013724752800","1586","14137.013724752800","25",2019
"24","24","Bravo-Conchos","229740","399.000000000000","5671.814892257040","-432","5239.814892257040","37",2019
"25","25","San Fernando-Soto la Marina","54961","703.000000000000","4713.170891374940","","4713.170891374940","45",2019
"26","26","Pánuco","96989","855.000000000000","20223.563594979100","","20223.563594979100","77",2019
"27","27","Norte de Veracruz (Tuxpan-Nautla)","26592","1422.000000000000","14377.947901494900","","14377.947901494900","12",2019
"28","28","Papaloapan","57355","1440.000000000000","47393.898346327700","","47393.898346327700","18",2019
"29","29","Coatzacoalcos","30217","2211.000000000000","34707.707687956200","","34707.707687956200","15",2019
"30","30","Grijalva-Usumacinta","102465","1703.000000000000","61881.044713262900","44080","105961.244713263000","83",2019
"31","31","Yucatán Oeste","25443","1175.000000000000","755.928545869693","","755.928545869693","7",2019
"32","32","Yucatán Norte","58135","1143.000000000000","21.529162414410","","21.529162414410","2",2019
"33","33","Yucatán Este","38308","1210.000000000000","1077.813020265970","864","1942.213020265970","6",2019
"34","34","Cuencas Cerradas del Norte","90829","298.000000000000","1254.949816855850","","1254.949816855850","22",2019
"35","35","Mapimí","62639","292.000000000000","580.542787084823","","580.542787084823","6",2019
"36","36","Nazas-Aguanaval","93032","393.000000000000","2101.291682346600","","2101.291682346600","16",2019
"37","37","El Salado","87801","393.000000000000","2869.010551222990","","2869.010551222990","8",2019
"38","1","B.C. Noroeste","28492","208.980000000000","352.675777680980","","352.675777680980","16",2018
"39","2","B.C. Centro-Oeste","44314","116.440000000000","243.056706876721","","243.056706876721","16",2018
"40","3","B.C. Suroeste","29722","200.130000000000","356.070204710457","","356.070204710457","15",2018
