Año,Clave cuenca,Clave Región,Región hidrológica,Descripcion,RHA,Clave RHA,Nombre de cuenca,ExtraccionSuperficial,Area,DisponibilidadMediaAnua,EscurrimientoNatural
2003,1201,20,Lerma-Santiago,Desde su origen hasta la presa José A Alzate,Lerma Santiago Pacífico,VIII,Río Lerma 1,39.3,2137,0,244.9
2003,1202,20,Lerma-Santiago,Desde su origen hasta la presa Ignacio Ramírez,Lerma Santiago Pacífico,VIII,Río La Gavia,34.4,505,0,98.7
2003,1203,20,Lerma-Santiago,Desde su origen hasta la presa Tepetitlán,Lerma Santiago Pacífico,VIII,Río Jaltepec,21.5,378,0,69
2003,1204,20,Lerma-Santiago,"Desde las presas Alzate, Ramírez y Tepetitlán hasta  la presa Tepuxtepec",Lerma Santiago Pacífico,VIII,Río Lerma 2,104.6,2623,0,460.3
2003,1205,20,Lerma-Santiago,Desde la presa Tepuxtepec hasta la presa Solís,Lerma Santiago Pacífico,VIII,Río Lerma 3,114.4,2895,0,369.1
2003,1206,20,Lerma-Santiago,Desde su origen hasta la presa Ignacio Allende,Lerma Santiago Pacífico,VIII,Río La Laja 1,56.4,4981,0,265.2
2003,1207,20,Lerma-Santiago,Desde su origen hasta la EH Ameche,Lerma Santiago Pacífico,VIII,Río Querétaro,53.8,2255,0,128.9
2003,1208,20,Lerma-Santiago,Desde la presa Ignacio Allende hasta la EH Pericos,Lerma Santiago Pacífico,VIII,Río La Laja 2,227.8,2415,0,80.7
2003,1209,20,Lerma-Santiago,Laguna de Yuriria,Lerma Santiago Pacífico,VIII,Laguna  de Yuriria,109.6,1093,0,116.2
2003,1210,20,Lerma-Santiago,"Desde la presa Solís, la Laguna de Yuríria y la EH Pericos hasta la EH Salamanca",Lerma Santiago Pacífico,VIII,Río Lerma 4,450.9,2751,0,329.4
2003,1211,20,Lerma-Santiago,Desde su origen hasta la EH Las Adjuntas,Lerma Santiago Pacífico,VIII,Río Turbio,152.6,2913,0,163.4
2003,1212,20,Lerma-Santiago,Desde su origen hasta la presa Melchor Ocampo,Lerma Santiago Pacífico,VIII,Río Angulo,101.3,2064,0,284
2003,1213,20,Lerma-Santiago,Desde la presa Melchor Ocampo y las EH Salamanca y las Adjuntas hasta la EH Corrales,Lerma Santiago Pacífico,VIII,Río Lerma 5,443,7143,0,482.1
2003,1214,20,Lerma-Santiago,Desde la EH Corrales hasta la EH Yurecuaro,Lerma Santiago Pacífico,VIII,Río Lerma 6,106.7,2023,0,233.2
2003,1215,20,Lerma-Santiago,Desde su origen hasta la EH La Estanzuela,Lerma Santiago Pacífico,VIII,Río Duero,239.1,2198,0,457.8
2003,1216,20,Lerma-Santiago,Desde su origen hasta la EH Zula,Lerma Santiago Pacífico,VIII,Río Zula,31.1,2098,0,181
2003,1217,20,Lerma-Santiago,"Desde las EH Yurecuaro, Estanzuela y Zula hasta el Lago de Chapala",Lerma Santiago Pacífico,VIII,Río Lerma 7,271.5,6644,0,943.9
2003,1218,20,Lerma-Santiago,Cuenca cerrada del Lago de Pátzcuaro,Lerma Santiago Pacífico,VIII,Lago de Pátzcuaro,31.7,1096,8.1,152.3
2003,1219,20,Lerma-Santiago,Cuenca cerrada del Lago de Cuitzeo,Lerma Santiago Pacífico,VIII,Lago de Cuitzeo,200.8,3675,0,452.6
2004,1201,20,Lerma-Santiago,Desde su origen hasta la presa José A Alzate,Lerma Santiago Pacífico,VIII,Río Lerma 1,39.3,2137,0,244.9
2004,1202,20,Lerma-Santiago,Desde su origen hasta la presa Ignacio Ramírez,Lerma Santiago Pacífico,VIII,Río La Gavia,34.4,505,0,98.7
2004,1203,20,Lerma-Santiago,Desde su origen hasta la presa Tepetitlán,Lerma Santiago Pacífico,VIII,Río Jaltepec,21.5,378,0,69
2004,1204,20,Lerma-Santiago,"Desde las presas Alzate, Ramírez y Tepetitlán hasta  la presa Tepuxtepec",Lerma Santiago Pacífico,VIII,Río Lerma 2,104.6,2623,0,460.3
2004,1205,20,Lerma-Santiago,Desde la presa Tepuxtepec hasta la presa Solís,Lerma Santiago Pacífico,VIII,Río Lerma 3,114.4,2895,0,369.1
2004,1206,20,Lerma-Santiago,Desde su origen hasta la presa Ignacio Allende,Lerma Santiago Pacífico,VIII,Río La Laja 1,56.4,4981,0,265.2
2004,1207,20,Lerma-Santiago,Desde su origen hasta la EH Ameche,Lerma Santiago Pacífico,VIII,Río Querétaro,53.8,2255,0,128.9
2004,1208,20,Lerma-Santiago,Desde la presa Ignacio Allende hasta la EH Pericos,Lerma Santiago Pacífico,VIII,Río La Laja 2,227.8,2415,0,80.7
2004,1209,20,Lerma-Santiago,Laguna de Yuriria,Lerma Santiago Pacífico,VIII,Laguna  de Yuriria,109.6,1093,0,116.2
2004,1210,20,Lerma-Santiago,"Desde la presa Solís, la Laguna de Yuríria y la EH Pericos hasta la EH Salamanca",Lerma Santiago Pacífico,VIII,Río Lerma 4,450.9,2751,0,329.4
2004,1211,20,Lerma-Santiago,Desde su origen hasta la EH Las Adjuntas,Lerma Santiago Pacífico,VIII,Río Turbio,152.6,2913,0,163.4
2004,1212,20,Lerma-Santiago,Desde su origen hasta la presa Melchor Ocampo,Lerma Santiago Pacífico,VIII,Río Angulo,101.3,2064,0,284
2004,1213,20,Lerma-Santiago,Desde la presa Melchor Ocampo y las EH Salamanca y las Adjuntas hasta la EH Corrales,Lerma Santiago Pacífico,VIII,Río Lerma 5,443,7143,0,482.1
2004,1214,20,Lerma-Santiago,Desde la EH Corrales hasta la EH Yurecuaro,Lerma Santiago Pacífico,VIII,Río Lerma 6,106.7,2023,0,233.2
