CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
1001,AGUASCALIENTES (OBS),1961-2014,76571,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,OBSERVATORIO,CONAGUA-SMN,OPERANDO,21,51,1,102,17,27,1890.8,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.850278,-102.290833
1003,CALVILLO (SMN),"1932-1949, 1954-1988",,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,21,53,0,102,43,8,1640,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.883333,-102.718889
1004,CA??ADA HONDA,"1970-2013, 2015",,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,0,3,102,11,56,1925,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.000833,-102.198889
1005,PRESA EL NIAGARA,1957-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,46,50,102,22,18,1844,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.780556,-102.371667
1006,EL TULE (SMN),1941-1988,,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,22,4,54,102,5,29,1960,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.081667,-102.091389
1007,JESUS MARIA (SMN),1941-1988,,JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,21,57,44,102,20,41,1880,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.962222,-102.344722
1008,PUERTO DE LA CONCEPCION,1959-2015,,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,12,10,102,8,6,2322.8,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.202778,-102.135
1009,LA LABOR (SMN),"1944-1958, 1961-1988",,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,21,57,44,102,41,41,1740,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.962222,-102.694722
1010,LA TINAJA,1961-2015,,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA CALLES,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,9,52,102,33,15,2525.7,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA CALLES""",22.164444,-102.554167
1011,MALPASO,1949-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,51,36,102,39,50,1730.2,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.86,-102.663889
