CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
ADUMC,"ADJUNTAS, MICH.",1994-2016,,L¡ZARO C¡RDENAS,MICHOAC¡N †DE OCAMPO,BALSAS,RÕO BAJO BALSAS,,,,,,,,,,,,,17.97,-102.2
AGHBN,"AGUA HECHICERA, B.C.","2004, 2006-2016",,TECATE,BAJA CALIFORNIA,PENÕNSULA DE BAJA CALIFORNIA,TIJUANA,,,,,,,,,,,,,32.27,-116.2
AGMNR,"AGUAMILPA, NAY.",1994-2016,,DEL NAYAR,NAYARIT,LERMA-SANTIAGO-PACÕFICO,RÕO SANTIAGO 5,,,,,,,,,,,,,21.88,-104.82
AGZCH,"ABRAHAM GONZ¡LEZ, CHIH.",1994-2016,,TEM”SACHI,CHIHUAHUA,NOROESTE,RÕO YAQUI 1,,,,,,,,,,,,,28.78,-108.05
ALRBN,"ABELARDO L. RODRÕGUEZ, B.C.",1994-2016,,TIJUANA,BAJA CALIFORNIA,PENÕNSULA DE BAJA CALIFORNIA,TIJUANA,,,,,,,,,,,,,32.52,-116.94
ANGCP,"ANGOSTURA, CHIS.","1994-2006, 2008-2016",,ACALA,CHIAPAS,FRONTERA SUR,PRESA CHICOASEN,,,,,,,,,,,,,16.51,-92.8
ARLSO,"ABELARDO RODRÕGUEZ LUJAN, SON.",1994-2016,,HERMOSILLO,SONORA,NOROESTE,RÕO SONORA 2,,,,,,,,,,,,,29.16,-110.93
ARZSO,"ARIZPE, SON.","1994-2000, 2002-2003, 2006-2016",,ARIZPE,SONORA,NOROESTE,RÕO SONORA 1,,,,,,,,,,,,,30.35,-110.17
BOCNL,"LA BOCA, N.L.","1994-2004, 2006, 2011, 2014-2016",,SANTIAGO,NUEVO LE”N,RÕO BRAVO,RÕO SAN JUAN 1,,,,,,,,,,,,,25.47,-100.21
CANQR,"CANC⁄N, Q. ROO.",1994-2016,,BENITO JU¡REZ,QUINTANA ROO,PENÕNSULA DE YUCAT¡N,SIN NOMBRE,,,,,,,,,,,,,21.19,-86.84
CAZSO,CAZANATE,2006-2006,,ALAMOS,SONORA,NOROESTE,ARROYO ¡LAMOS,,,,,,,,,,,,,26.62,-108.83
CBRDR,"CABORACA, DGO.",1994-2016,,CANATL¡N,DURANGO,PACÕFICO NORTE,RÕO LA SAUCEDA,,,,,,,,,,,,,24.52,-104.8
CCNBS,"CD. CONSTITUCI”N, B.C.S.",1994-2016,,COMOND¡S,BAJA CALIFORNIA SUR,PENÕNSULA DE BAJA CALIFORNIA,LA PURÕSIMA,,,,,,,,,,,,,25.01,-111.7
CDOOX,"CERRO DE ORO (MIGUEL DE LA MADRID), OAX.",1994-2016,,SAN LUCAS OJITL¡N,OAXACA,GOLFO CENTRO,RÕO SANTO DOMINGO,,,,,,,,,,,,,18.02,-96.27
CHICP,"CHICOAS…N, CHIS.",1994-2016,,OSUMACINTA,CHIAPAS,FRONTERA SUR,PRESA CHICOASEN,,,,,,,,,,,,,16.93,-93.1
CHTSO,"CUAUHT…MOC, SON.",1994-2016,,TUBUTAMA,SONORA,NOROESTE,RÕO MAGDALENA,,,,,,,,,,,,,30.94,-111.52
COBCA,"CAMPECHE OBSERVATORIO, CAMP.",1994-2016,,CAMPECHE,CAMPECHE,PENÕNSULA DE YUCAT¡N,SIN NOMBRE,,,,,,,,,,,,,19.83,-90.54
COOCP,"COMIT¡N OBSERVATORIO, CHIS.","1994-2006, 2008-2016",,COMIT¡N DOMÕNGUEZ,CHIAPAS,FRONTERA SUR,AGUACATENCO,,,,,,,,,,,,,16.2,-92.1
CPRNL,"CERRO PRIETO, N.L.",1994-2016,,MONTEMORELOS,NUEVO LE”N,RÕO BRAVO,RÕO CONCHOS,,,,,,,,,,,,,25.03,-99.38
CRRBN,"EL CARRIZO, B.C.",1994-2016,,TIJUANA,BAJA CALIFORNIA,PENÕNSULA DE BAJA CALIFORNIA,TIJUANA,,,,,,,,,,,,,32.48,-116.7
CVCTP,"CD. VICTORIA OBSERVATORIO, TAMPS.",1994-2016,,VICTORIA,TAMAULIPAS,GOLFO NORTE,AREA NO AFORADA,,,,,,,,,,,,,23.72,-99.17
EFLBN,"EL FLORIDO, B.C.",1996-2016,,TIJUANA,BAJA CALIFORNIA,PENÕNSULA DE BAJA CALIFORNIA,TIJUANA,,,,,,,,,,,,,32.5,-116.88
ELZBN,"EMILIO L”PEZ ZAMORA, B.C.",1994-2016,,ENSENADA,BAJA CALIFORNIA,PENÕNSULA DE BAJA CALIFORNIA,SAN RAFAEL,,,,,,,,,,,,,31.13,-116.18
ENDHD,"ENDH”, HGO.",1994-2016,,TEPATITL¡N,HIDALGO,VALLE DE M…XICO,RÕO TULA,,,,,,,,,,,,,20.23,-99.41
ERECH,"EL REJ”N, CHIH.",1994-2016,,CHIHUAHUA,CHIHUAHUA,RÕO BRAVO,RÕO SAN PEDRO,,,,,,,,,,,,,28.66,-106.16
