CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
ADUMC,"ADJUNTAS, MICH.",1994-2016,NA,LÁZARO CÁRDENAS,MICHOACÁN  DE OCAMPO,BALSAS,RÍO BAJO BALSAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.97,-102.2
AGHBN,"AGUA HECHICERA, B.C.","2004, 2006-2016",NA,TECATE,BAJA CALIFORNIA,PENÍNSULA DE BAJA CALIFORNIA,TIJUANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.27,-116.2
AGMNR,"AGUAMILPA, NAY.",1994-2016,NA,DEL NAYAR,NAYARIT,LERMA-SANTIAGO-PACÍFICO,RÍO SANTIAGO 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.88,-104.82
AGZCH,"ABRAHAM GONZÁLEZ, CHIH.",1994-2016,NA,TEMÓSACHI,CHIHUAHUA,NOROESTE,RÍO YAQUI 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.78,-108.05
ALRBN,"ABELARDO L. RODRÍGUEZ, B.C.",1994-2016,NA,TIJUANA,BAJA CALIFORNIA,PENÍNSULA DE BAJA CALIFORNIA,TIJUANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.52,-116.94
ANGCP,"ANGOSTURA, CHIS.","1994-2006, 2008-2016",NA,ACALA,CHIAPAS,FRONTERA SUR,PRESA CHICOASEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.51,-92.8
ARLSO,"ABELARDO RODRÍGUEZ LUJAN, SON.",1994-2016,NA,HERMOSILLO,SONORA,NOROESTE,RÍO SONORA 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.16,-110.93
ARZSO,"ARIZPE, SON.","1994-2000, 2002-2003, 2006-2016",NA,ARIZPE,SONORA,NOROESTE,RÍO SONORA 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.35,-110.17
BOCNL,"LA BOCA, N.L.","1994-2004, 2006, 2011, 2014-2016",NA,SANTIAGO,NUEVO LEÓN,RÍO BRAVO,RÍO SAN JUAN 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.47,-100.21
CANQR,"CANCÚN, Q. ROO.",1994-2016,NA,BENITO JUÁREZ,QUINTANA ROO,PENÍNSULA DE YUCATÁN,SIN NOMBRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.19,-86.84
