Municipio;mun_est;cve
AGUASCALIENTES;AGUASCALIENTESAGUASCALIENTES;1001
ASIENTOS;ASIENTOSAGUASCALIENTES;1002
CALVILLO;CALVILLOAGUASCALIENTES;1003
COSÍO;COSÍOAGUASCALIENTES;1004
JESÚS MARÍA;JESÚS MARÍAAGUASCALIENTES;1005
PABELLÓN DE ARTEAGA;PABELLÓN DE ARTEAGAAGUASCALIENTES;1006
RINCÓN DE ROMOS;RINCÓN DE ROMOSAGUASCALIENTES;1007
SAN JOSÉ DE GRACIA;SAN JOSÉ DE GRACIAAGUASCALIENTES;1008
TEPEZALÁ;TEPEZALÁAGUASCALIENTES;1009
EL LLANO;EL LLANOAGUASCALIENTES;1010
SAN FRANCISCO DE LOS ROMO;SAN FRANCISCO DE LOS ROMOAGUASCALIENTES;1011
NO ESPECIFICADO;NO ESPECIFICADOAGUASCALIENTES;1999
ENSENADA;ENSENADABAJA CALIFORNIA;2001
MEXICALI;MEXICALIBAJA CALIFORNIA;2002
TECATE;TECATEBAJA CALIFORNIA;2003
TIJUANA;TIJUANABAJA CALIFORNIA;2004
PLAYAS DE ROSARITO;PLAYAS DE ROSARITOBAJA CALIFORNIA;2005
NO ESPECIFICADO;NO ESPECIFICADOBAJA CALIFORNIA;2999
COMONDÚ;COMONDÚBAJA CALIFORNIA SUR;3001
MULEGÉ;MULEGÉBAJA CALIFORNIA SUR;3002
LA PAZ;LA PAZBAJA CALIFORNIA SUR;3003
LOS CABOS;LOS CABOSBAJA CALIFORNIA SUR;3008
LORETO;LORETOBAJA CALIFORNIA SUR;3009
NO ESPECIFICADO;NO ESPECIFICADOBAJA CALIFORNIA SUR;3999
CALKINÍ;CALKINÍCAMPECHE;4001
CAMPECHE;CAMPECHECAMPECHE;4002
CARMEN;CARMENCAMPECHE;4003
CHAMPOTÓN;CHAMPOTÓNCAMPECHE;4004
HECELCHAKÁN;HECELCHAKÁNCAMPECHE;4005
HOPELCHÉN;HOPELCHÉNCAMPECHE;4006
PALIZADA;PALIZADACAMPECHE;4007
TENABO;TENABOCAMPECHE;4008
ESCÁRCEGA;ESCÁRCEGACAMPECHE;4009
CALAKMUL;CALAKMULCAMPECHE;4010
CANDELARIA;CANDELARIACAMPECHE;4011
NO ESPECIFICADO;NO ESPECIFICADOCAMPECHE;4999
ABASOLO;ABASOLOCOAHUILA DE ZARAGOZA;5001
ACUÑA;ACUÑACOAHUILA DE ZARAGOZA;5002
ALLENDE;ALLENDECOAHUILA DE ZARAGOZA;5003
ARTEAGA;ARTEAGACOAHUILA DE ZARAGOZA;5004
CANDELA;CANDELACOAHUILA DE ZARAGOZA;5005
CASTAÑOS;CASTAÑOSCOAHUILA DE ZARAGOZA;5006
CUATRO CIÉNEGAS;CUATRO CIÉNEGASCOAHUILA DE ZARAGOZA;5007
ESCOBEDO;ESCOBEDOCOAHUILA DE ZARAGOZA;5008
FRANCISCO I. MADERO;FRANCISCO I. MADEROCOAHUILA DE ZARAGOZA;5009
FRONTERA;FRONTERACOAHUILA DE ZARAGOZA;5010
GENERAL CEPEDA;GENERAL CEPEDACOAHUILA DE ZARAGOZA;5011
GUERRERO;GUERREROCOAHUILA DE ZARAGOZA;5012
HIDALGO;HIDALGOCOAHUILA DE ZARAGOZA;5013
JIMÉNEZ;JIMÉNEZCOAHUILA DE ZARAGOZA;5014
JUÁREZ;JUÁREZCOAHUILA DE ZARAGOZA;5015
LAMADRID;LAMADRIDCOAHUILA DE ZARAGOZA;5016
MATAMOROS;MATAMOROSCOAHUILA DE ZARAGOZA;5017
MONCLOVA;MONCLOVACOAHUILA DE ZARAGOZA;5018
MORELOS;MORELOSCOAHUILA DE ZARAGOZA;5019
MÚZQUIZ;MÚZQUIZCOAHUILA DE ZARAGOZA;5020
NADADORES;NADADORESCOAHUILA DE ZARAGOZA;5021
NAVA;NAVACOAHUILA DE ZARAGOZA;5022
OCAMPO;OCAMPOCOAHUILA DE ZARAGOZA;5023
PARRAS;PARRASCOAHUILA DE ZARAGOZA;5024
PIEDRAS NEGRAS;PIEDRAS NEGRASCOAHUILA DE ZARAGOZA;5025
PROGRESO;PROGRESOCOAHUILA DE ZARAGOZA;5026
RAMOS ARIZPE;RAMOS ARIZPECOAHUILA DE ZARAGOZA;5027
SABINAS;SABINASCOAHUILA DE ZARAGOZA;5028
SACRAMENTO;SACRAMENTOCOAHUILA DE ZARAGOZA;5029
SALTILLO;SALTILLOCOAHUILA DE ZARAGOZA;5030
SAN BUENAVENTURA;SAN BUENAVENTURACOAHUILA DE ZARAGOZA;5031
SAN JUAN DE SABINAS;SAN JUAN DE SABINASCOAHUILA DE ZARAGOZA;5032
SAN PEDRO;SAN PEDROCOAHUILA DE ZARAGOZA;5033
SIERRA MOJADA;SIERRA MOJADACOAHUILA DE ZARAGOZA;5034
TORREÓN;TORREÓNCOAHUILA DE ZARAGOZA;5035
VIESCA;VIESCACOAHUILA DE ZARAGOZA;5036
VILLA UNIÓN;VILLA UNIÓNCOAHUILA DE ZARAGOZA;5037
ZARAGOZA;ZARAGOZACOAHUILA DE ZARAGOZA;5038
NO ESPECIFICADO;NO ESPECIFICADOCOAHUILA DE ZARAGOZA;5999
ARMERÍA;ARMERÍACOLIMA;6001
COLIMA;COLIMACOLIMA;6002
COMALA;COMALACOLIMA;6003
COQUIMATLÁN;COQUIMATLÁNCOLIMA;6004
CUAUHTÉMOC;CUAUHTÉMOCCOLIMA;6005
IXTLAHUACÁN;IXTLAHUACÁNCOLIMA;6006
MANZANILLO;MANZANILLOCOLIMA;6007
MINATITLÁN;MINATITLÁNCOLIMA;6008
TECOMÁN;TECOMÁNCOLIMA;6009
VILLA DE ÁLVAREZ;VILLA DE ÁLVAREZCOLIMA;6010
NO ESPECIFICADO;NO ESPECIFICADOCOLIMA;6999
ACACOYAGUA;ACACOYAGUACHIAPAS;7001
ACALA;ACALACHIAPAS;7002
ACAPETAHUA;ACAPETAHUACHIAPAS;7003
ALTAMIRANO;ALTAMIRANOCHIAPAS;7004
AMATÁN;AMATÁNCHIAPAS;7005
AMATENANGO DE LA FRONTERA;AMATENANGO DE LA FRONTERACHIAPAS;7006
AMATENANGO DEL VALLE;AMATENANGO DEL VALLECHIAPAS;7007
ANGEL ALBINO CORZO;ANGEL ALBINO CORZOCHIAPAS;7008
ARRIAGA;ARRIAGACHIAPAS;7009
BEJUCAL DE OCAMPO;BEJUCAL DE OCAMPOCHIAPAS;7010
BELLA VISTA;BELLA VISTACHIAPAS;7011
BERRIOZÁBAL;BERRIOZÁBALCHIAPAS;7012
BOCHIL;BOCHILCHIAPAS;7013
EL BOSQUE;EL BOSQUECHIAPAS;7014
CACAHOATÁN;CACAHOATÁNCHIAPAS;7015
CATAZAJÁ;CATAZAJÁCHIAPAS;7016
CINTALAPA;CINTALAPACHIAPAS;7017
COAPILLA;COAPILLACHIAPAS;7018
COMITÁN DE DOMÍNGUEZ;COMITÁN DE DOMÍNGUEZCHIAPAS;7019
LA CONCORDIA;LA CONCORDIACHIAPAS;7020
COPAINALÁ;COPAINALÁCHIAPAS;7021
CHALCHIHUITÁN;CHALCHIHUITÁNCHIAPAS;7022
CHAMULA;CHAMULACHIAPAS;7023
CHANAL;CHANALCHIAPAS;7024
CHAPULTENANGO;CHAPULTENANGOCHIAPAS;7025
CHENALHÓ;CHENALHÓCHIAPAS;7026
CHIAPA DE CORZO;CHIAPA DE CORZOCHIAPAS;7027
CHIAPILLA;CHIAPILLACHIAPAS;7028
CHICOASÉN;CHICOASÉNCHIAPAS;7029
CHICOMUSELO;CHICOMUSELOCHIAPAS;7030
CHILÓN;CHILÓNCHIAPAS;7031
ESCUINTLA;ESCUINTLACHIAPAS;7032
FRANCISCO LEÓN;FRANCISCO LEÓNCHIAPAS;7033
FRONTERA COMALAPA;FRONTERA COMALAPACHIAPAS;7034
FRONTERA HIDALGO;FRONTERA HIDALGOCHIAPAS;7035
LA GRANDEZA;LA GRANDEZACHIAPAS;7036
HUEHUETÁN;HUEHUETÁNCHIAPAS;7037
HUIXTÁN;HUIXTÁNCHIAPAS;7038
HUITIUPÁN;HUITIUPÁNCHIAPAS;7039
HUIXTLA;HUIXTLACHIAPAS;7040
LA INDEPENDENCIA;LA INDEPENDENCIACHIAPAS;7041
IXHUATÁN;IXHUATÁNCHIAPAS;7042
IXTACOMITÁN;IXTACOMITÁNCHIAPAS;7043
IXTAPA;IXTAPACHIAPAS;7044
IXTAPANGAJOYA;IXTAPANGAJOYACHIAPAS;7045
JIQUIPILAS;JIQUIPILASCHIAPAS;7046
JITOTOL;JITOTOLCHIAPAS;7047
JUÁREZ;JUÁREZCHIAPAS;7048
LARRÁINZAR;LARRÁINZARCHIAPAS;7049
LA LIBERTAD;LA LIBERTADCHIAPAS;7050
MAPASTEPEC;MAPASTEPECCHIAPAS;7051
LAS MARGARITAS;LAS MARGARITASCHIAPAS;7052
MAZAPA DE MADERO;MAZAPA DE MADEROCHIAPAS;7053
