id_rh,anio,vmae,vaeas,dma,p,prec,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
1,2005,358.968,257.605,210.85399999999998,211.2217733657159,138.6986,NA,NA,NA,NA,0,NA,NA
1,2006,358.968,257.605,210.85399999999998,211.2217733657159,80.7987,B.C. Noroeste,28492,203.5933402,359,0,359,0
1,2007,358.968,257.605,210.85399999999998,211.2217733657159,183.5315,B.C. Noroeste,28492,249.4041454,359,0,359,16
1,2008,358.968,257.605,210.85399999999998,211.2217733657159,274.2731,B.C. Noroeste,28492,248.84919378,359,0,359,16
1,2009,358.96799999999996,257.605,210.85399999999998,211.22177336571585,181.9225,B.C. Noroeste,28492,249,359,0,359,16
1,2010,358.968,257.605,210.85399999999998,211.2217733657159,194.5297,B.C. Noroeste,28492,249,358.968,0,358.968,16
1,2011,358.968,262.74275,210.85399999999998,206.63599189929994,163.222617,B.C. Noroeste,28492,208.98,359,0,359,16
1,2012,358.968,262.74275,210.85399999999998,206.63599189929994,158.251593,B.C. Noroeste,28492,208.98,359,0,359,16
1,2013,336.71999999999997,265.109,182.928,182.7583585484547,342.22,B.C. Noroeste,28492,208.98,359,0,359,16
1,2014,336.71999999999997,265.109,182.928,182.7583585484547,131.8,B.C. Noroeste,28492,208.98,336.7,0,336.7,16
1,2015,336.71999999999997,265.109,182.928,182.7583585484547,176,B.C. Noroeste,28492,208.98,336.7,0,336.7,16
1,2016,352.677,265.73900000000003,197.373,197.80704785916134,201.98,B.C. Noroeste,28492,209,352.67577768098,0,352.67577768098,16
1,2017,352.677,265.73900000000003,197.373,197.80704785916134,122.2,B.C. Noroeste,28492,209,352.67577768098,0,352.67577768098,16
1,2018,352.677,265.73900000000003,197.373,197.80704785916134,120.79,B.C. Noroeste,28492,208.98,352.67577768098,0,352.67577768098,16
1,2019,352.677,265.73900000000003,197.373,197.80704785916134,98.1526435921229,B.C. Noroeste,28492,209,352.67577768098,0,352.67577768098,16
1,2020,358.888,264.21,200.246,205.24810892509643,97.5038123732687,NA,NA,NA,NA,0,NA,NA
1,2021,354.89248065036554,264.21,NA,201.33922402514636,97.5068092858665,NA,NA,NA,NA,0,NA,NA
1,2022,354.5355442631681,264.21,NA,200.9900270542228,97.506795217691,NA,NA,NA,NA,0,NA,NA
1,2023,354.64435029644824,264.21,NA,201.09647385707737,97.5067952837252,NA,NA,NA,NA,0,NA,NA
2,2005,448.96999999999997,4.178,399.89500000000004,399.8950042918213,138.6986,NA,NA,NA,NA,0,NA,NA
